nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
SAINTE URSULE;4;17;O;N;RUE SAINTE URSULE;URSULE (RUE SAINTE URSULE);19;3105558076;Toulouse;31555;1574221,591;2268123,522;1,44203223;43,60272299
SERRES -  CABANEL;110;18;O;N;RUE ALEXANDRE CABANEL;CABANEL (RUE ALEXANDRE CABANEL);16;3105550148;Toulouse;31555;1573923,353;2269407,479;1,43804327;43,61422779
THEATRE GARONNE;95;20;O;N;AV DU CHATEAU D EAU;EAU (AV DU CHATEAU D EAU);4;3105551976;Toulouse;31555;1572889,213;2268103,344;1,42553713;43,60231784
SAINTE LUCIE;37;18;O;N;RUE SAINTE LUCIE;LUCIE (RUE SAINTE LUCIE);38;3105558040;Toulouse;31555;1573230,489;2267118,794;1,42999125;43,59351511
BRUNHES FONTAINES;137;20;O;N;BD JEAN BRUNHES;BRUNHES (BD JEAN BRUNHES);45;3105554524;Toulouse;31555;1572467,664;2267970,159;1,42034783;43,60104806
FONTAINES MILHES;136;20;O;;RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);190;3105553380;Toulouse;31555;1572025,286;2268084,400;1,41484302;43,60200113
BARRIERE DE LOMBEZ;139;20;O;;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);39;3105555308;Toulouse;31555;1572302,049;2267357,009;1,41843993;43,59550213
EMILE MALE;140;18;O;;PL EMILE MALE;MALE (PL EMILE MALE);4;3105552988;Toulouse;31555;1572309,492;2266936,497;1,41863011;43,59171910
DEODAT DE SEVERAC;142;20;O;;BD DEODAT DE SEVERAC;SEVERAC (BD DEODAT DE SEVERAC);52;3105552600;Toulouse;31555;1572662,306;2266606,673;1,42307514;43,58881062
METRO FONTAINE LESTANG;141;20;O;;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);239;3105554140;Toulouse;31555;1572241,703;2266451,972;1,41790377;43,58734725
DESBALS SAINTONGE;143;20;O;N;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);145;3105554140;Toulouse;31555;1571885,185;2265828,081;1,41363575;43,58167217
SUISSE LAUSANNE;144;20;O;N;BD DE SUISSE;SUISSE (BD DE SUISSE);62;3105558336;Toulouse;31555;1572600,809;2269626,090;1,42161129;43,61597264
GOUNOD GARROS;145;20;O;;RUE CHARLES GOUNOD;GOUNOD (RUE CHARLES GOUNOD);27;3105551940;Toulouse;31555;1572871,011;2269390,254;1,42501291;43,61389595
SANG DE SERP DAGNAUX;146;20;O;;CHE DU SANG DE SERP;SERP (CHE DU SANG DE SERP);57;3105558132;Toulouse;31555;1573144,998;2269574,770;1,42836374;43,61560262
CHAUSSAS DAUDET;147;19;O;;RUE DE CHAUSSAS;CHAUSSAS (RUE DE CHAUSSAS);96;3105551996;Toulouse;31555;1573218,918;2270028,932;1,42917415;43,61970216
COLLIGNON;148;19;O;N;AV FRANCOIS COLLIGNON;COLLIGNON (AV FRANCOIS COLLIGNON);0000;3105552178;Toulouse;31555;1574417,511;2269658,029;1,44410648;43,61656507
CURIE NEGRENEYS;151;20;O;N;BD PIERRE ET MARIE CURIE;CURIE (BD PIERRE ET MARIE CURIE);27;3105556880;Toulouse;31555;1574354,413;2270554,521;1,44311910;43,62462226
THEATRE DES MAZADES;152;20;O;;AV DES MAZADES;MAZADES (AV DES MAZADES);10;3105555848;Toulouse;31555;1573979,249;2270507,152;1,43848239;43,62413332
RAISIN;149;22;O;;CHE DU RAISIN;RAISIN (CHE DU RAISIN);2;3105557248;Toulouse;31555;1574776,273;2269521,546;1,44858154;43,61539655
HOTEL DE REGION;154;20;O;;RUE DES GALLOIS;GALLOIS (RUE DES GALLOIS);4;3105553688;Toulouse;31555;1574173,341;2266702,752;1,44176111;43,58992903
RECOLLETS;155;20;O;;BD DES RECOLLETS;RECOLLETS (BD DES RECOLLETS);34;3105557344;Toulouse;31555;1574288,301;2266015,487;1,44334213;43,58376330
METRO EMPALOT;156;20;O;N;AV JEAN MOULIN;MOULIN (AV JEAN MOULIN);38;3105554616;Toulouse;31555;1574167,046;2265550,443;1,44194780;43,57955798
URSS RECOLLETS;157;18;O;;AV DE L URSS;URSS (AV DE L URSS);16B;3105558660;Toulouse;31555;1574710,825;2265913,567;1,44859626;43,58291644
URSS ST THOMAS D AQUIN;158;20;O;;AV DE L URSS;URSS (AV DE L URSS);55;3105558660;Toulouse;31555;1574752,179;2265686,950;1,44916002;43,58088390
JULES JULIEN DEVIC;159;20;O;;AV JULES JULIEN;JULIEN (AV JULES JULIEN);96;3105554816;Toulouse;31555;1574836,410;2265432,244;1,45026092;43,57860570
THEATRE JULES JULIEN;160;17;O;N;AV DES ECOLES JULES JULIEN;JULIEN (AV DES ECOLES JULES JULIEN);21;3105552860;Toulouse;31555;1575004,761;2264839,293;1,45248014;43,57329745
RANGUEIL BEDOUCE;161;16;O;N;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);35;3105557268;Toulouse;31555;1575202,687;2265207,362;1,45484623;43,57664263
METRO SAOUZELONG;164;20;O;N;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);77;3105550112;Toulouse;31555;1575626,429;2265546,731;1,46001452;43,57976677
BEDOUCE CANAL DU MIDI;163;20;O;;AV ALBERT BEDOUCE;BEDOUCE (AV ALBERT BEDOUCE);115;3105550112;Toulouse;31555;1575824,367;2265743,753;1,46242018;43,58157247
ITALIE;162;17;O;N;AV D ITALIE;ITALIE (AV D ITALIE);49;3105554364;Toulouse;31555;1575211,463;2265611,743;1,45486278;43,58028326
AVIONS LIBELLULES;165;15;O;;AV DES AVIONS;AVIONS (AV DES AVIONS);35;3105550732;Toulouse;31555;1575630,346;2265224,307;1,46013617;43,57686580
BONNEFOY LEMAITRE;135;17;O;N;RUE DU FAUBOURG BONNEFOY;BONNEFOY (RUE DU FAUBOURG BONNEFOY);183;3105553204;Toulouse;31555;1575610,356;2270362,355;1,45872173;43,62310136
BILA;168;15;O;N;PL BILA;BILA (PL BILA);1;3105551168;Toulouse;31555;1575621,698;2270749,422;1,45877425;43,62658654
RPT POINT LAFFORGUE;172;20;O;N;RPT DE L ABBE G. LAFFORGUE;LAFFORGUE (RPT DE L ABBE G. LAFFORGUE);0;3105550011;Toulouse;31555;1575842,840;2272555,024;1,46110410;43,64287198
METRO BOURGES MAUNOURY;175;30;O;N;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);00;3105555789;Toulouse;31555;1575125,256;2272234,296;1,45228507;43,63986705
BOURGES MAUNOURY MELAT;174;20;O;N;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);41;3105555789;Toulouse;31555;1575150,931;2271906,413;1,45267806;43,63692063
BOURGES MAUNOURY SEGLA;173;20;O;N;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);25;3105555789;Toulouse;31555;1574986,805;2271498,002;1,45073775;43,63321805
LAPUJADE FLANDRES;167;18;O;N;CHE DE LAPUJADE;LAPUJADE (CHE DE LAPUJADE);98;3105555028;Toulouse;31555;1575286,179;2270480,038;1,45467902;43,62410681
MAUNOURY PISAN;153;18;O;;AV MAURICE BOURGES MAUNOURY;MAUNOURY (AV MAURICE BOURGES MAUNOURY);9;3105555789;Toulouse;31555;1574772,503;2270985,918;1,44819977;43,62857411
GUESDE TRENTE SIX  PONTS;68;18;O;;ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);3;3105554812;Toulouse;31555;1574465,792;2267034,626;1,44530595;43,59296443
LEDUC;5;19;O;N;RUE RENE LEDUC;LEDUC (RUE RENE LEDUC);5;3105557413;Toulouse;31555;1575431,201;2269057,014;1,45679944;43,61132468
GENERAL COMPANS;176;18;O;N;RUE DU GEN JEAN COMPANS;COMPANS (RUE DU GEN JEAN COMPANS);1;3105552250;Toulouse;31555;1575522,984;2268557,134;1,45804987;43,60684129
BAILLAUD BRUNAUD;177;20;O;;RUE BENJAMIN BAILLAUD;BAILLAUD (RUE BENJAMIN BAILLAUD);64;3105551044;Toulouse;31555;1576144,576;2269724,171;1,46548405;43,61744621
PLACE DE LA ROSERAIE;178;20;O;N;AV YVES BRUNAUD;BRUNAUD (AV YVES BRUNAUD);98;3105558972;Toulouse;31555;1576410,208;2269926,613;1,46872868;43,61931166
CASSAING PLANA;179;17;O;N;CHE CASSAING;CASSAING (CHE CASSAING);4;3105551744;Toulouse;31555;1576800,246;2269657,128;1,47362082;43,61695038
PLACE SOUPETARD;180;15;O;N;PL DE SOUPETARD;SOUPETARD (PL DE SOUPETARD);3;3105558300;Toulouse;31555;1577107,614;2269127,006;1,47754713;43,61222985
PLANA GARNIER;181;15;O;N;RUE LOUIS PLANA;PLANA (RUE LOUIS PLANA);27;3105555396;Toulouse;31555;1577296,085;2268792,849;1,47995638;43,60925338
CHAUBET;182;20;O;N;AV JEAN CHAUBET;CHAUBET (AV JEAN CHAUBET);158;3105554540;Toulouse;31555;1577434,127;2268424,564;1,48174850;43,60596154
MICHOUN LIPPMAN;184;18;O;N;CHE MICHOUN;MICHOUN (CHE MICHOUN);70;3105555932;Toulouse;31555;1576471,945;2270806,679;1,46929477;43,62724171
ROUBICHOU ARLES;185;15;O;N;RUE ROUBICHOU;ROUBICHOU (RUE ROUBICHOU);30;3105557648;Toulouse;31555;1576174,154;2270806,959;1,46560543;43,62719534
BARRIERE DE BAYONNE;138;20;O;N;BRE DE BAYONNE;BAYONNE (BRE DE BAYONNE);2;3105550924;Toulouse;31555;1572446,690;2267631,323;1,42016702;43,59799524
DESBALS BACHAGA BOUALAM;186;18;O;N;IMP DU BACHAGA BOUALAM;BOUALAM (IMP DU BACHAGA BOUALAM);1;3105550793;Toulouse;31555;1571658,761;2265562,841;1,41089488;43,57924669
DESBALS MONT DORE;187;15;O;N;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);187;3105554140;Toulouse;31555;1572058,509;2266147,530;1,41570681;43,58457643
MURET LAFAGE;188;18;O;N;AV DE MURET;MURET (AV DE MURET);121;3105556160;Toulouse;31555;1573014,873;2266098,093;1,42755811;43,58429324
MURET BOUTINON;189;20;O;N;AV DE MURET;MURET (AV DE MURET);44;3105556160;Toulouse;31555;1572839,750;2265794,238;1,42546060;43,58152924
OUSTALOUS;190;20;O;N;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);39;3105553064;Toulouse;31555;1572712,424;2265326,999;1,42399290;43,57730293
ST SIMON QUATORZE JUILLET;191;20;O;N;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON);395;3105557988;Toulouse;31555;1572029,159;2266752,768;1,41520210;43,59001813
ST SIMON PRADO;192;18;O;N;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON);355;3105557988;Toulouse;31555;1571568,562;2266512,450;1,40955573;43,58777711
LOMBEZ PETITE VITESSE;193;20;O;N;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);59;3105555308;Toulouse;31555;1572029,737;2267293,953;1,41508282;43,59488849
GOUJON PUJOL;196;20;O;N;RUE JEAN GOUJON;GOUJON (RUE JEAN GOUJON);10;3105554584;Toulouse;31555;1575510,029;2268001,156;1,45801584;43,60183574
LAROUSSE RIEUX;195;20;O;N;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);4;3105554652;Toulouse;31555;1575577,141;2267498,475;1,45896113;43,59732304
CASERNE PERIGNON;197;20;O;N;AV LOUIS BLERIOT;BLERIOT (AV LOUIS BLERIOT);6;3105555360;Toulouse;31555;1575993,930;2267821,772;1,46404891;43,60030120
DELTOUR RIEUX;199;20;O;N;BD DELTOUR;DELTOUR (BD DELTOUR);4;3105552580;Toulouse;31555;1576457,895;2266834,147;1,47001711;43,59148943
PLACE DE L ORMEAU;200;20;O;N;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);345;3105554652;Toulouse;31555;1577531,940;2265431,040;1,48362912;43,57903760
POTEZ SAINT EXUPERY;201;20;O;N;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);256;3105557772;Toulouse;31555;1577307,471;2265514,134;1,48083180;43,57974889
SAINT EXUPERI ECOLE COURREGE;202;17;O;N;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);165;3105557772;Toulouse;31555;1576909,343;2265735,250;1,47585362;43,58167390
PETIT PRINCE SAINT EXUPERY;203;20;O;N;AV DU PETIT PRINCE;PRINCE (AV DU PETIT PRINCE);2;3105556790;Toulouse;31555;1576445,342;2265951,413;1,47006075;43,58354332
COTTAGES RIEUX;205;17;O;N;AV DES COTTAGES;COTTAGES (AV DES COTTAGES);58;3105552340;Toulouse;31555;1576849,431;2266203,549;1,47500669;43,58587852
PL ROGER ARNAUD;204;18;O;N;PL ROGER ARNAUD;ARNAUD (PL ROGER ARNAUD);1;3105557568;Toulouse;31555;1575896,817;2266329,752;1,46318436;43,58685803
LEYGUE RIEUX;206;18;O;N;AV ARMAND LEYGUE;LEYGUE (AV ARMAND LEYGUE);20;3105550496;Toulouse;31555;1576065,333;2267126,320;1,46509048;43,59405435
CHRIST ROI;207;17;O;N;RUE DE L AUDE;AUDE (RUE DE L AUDE);25;3105550616;Toulouse;31555;1577404,862;2265913,068;1,48194818;43,58335491
LIMAYRAC DARASSE;208;18;O;N;ALL DE LIMAYRAC;LIMAYRAC (ALL DE LIMAYRAC);;3105555273;Toulouse;31555;1577270,431;2266785,128;1,48008858;43,59118103
BAROUX DARASSE;209;17;O;N;AV LUCIEN BAROUX;BAROUX (AV LUCIEN BAROUX);4;3105555446;Toulouse;31555;1577170,085;2266605,800;1,47888635;43,58955085
FIRMIS;210;18;O;N;CHE DE LA TERRASSE;TERRASSE (CHE DE LA TERRASSE);42;3105558436;Toulouse;31555;1577490,502;2266215,309;1,48294081;43,58608882
LE DORMEUR LA TERRASSE;211;18;O;N;RUE LE DORMEUR;DORMEUR (RUE LE DORMEUR);9;3105552746;Toulouse;31555;1577874,859;2265918,350;1,48776554;43,58347873
LAFILAIRE DELTOUR;198;20;O;N;CHE DE LAFILAIRE;LAFILAIRE (CHE DE LAFILAIRE);25;3105554932;Toulouse;31555;1576744,950;2267355,434;1,47345401;43,59622767
ALBI PELET;171;20;O;N;RTE D ALBI;ALBI (RTE D ALBI);191;3105550124;Toulouse;31555;1576272,544;2272347,030;1,46647604;43,64107093
CRETES CHAUMIERES;212;17;O;N;RUE DE LA CHAUMIERE;CHAUMIERE (RUE DE LA CHAUMIERE);0;3105551989;Toulouse;31555;1576138,025;2269476,669;1,46545891;43,61521780
PUJOL CHAUBET;213;18;O;N;AV CAMILLE PUJOL;PUJOL (AV CAMILLE PUJOL);129;3105551584;Toulouse;31555;1576258,204;2267862,380;1,46731232;43,60071008
CASTRES ACHIARY;214;17;O;N;AV DE CASTRES;CASTRES (AV DE CASTRES);48;3105551772;Toulouse;31555;1576762,611;2267867,641;1,47355744;43,60084009
METRO ARGOULETS;215;20;O;N;RUE DE GAILLAC;GAILLAC (RUE DE GAILLAC);8;3105553668;Toulouse;31555;1577001,249;2270417,291;1,47593976;43,62382413
ARGOULETS HOUDON;216;18;O;N;RUE JEAN HOUDON;HOUDON (RUE JEAN HOUDON);3;3105554592;Toulouse;31555;1576846,012;2270302,074;1,47404259;43,62276190
PUCCINI BLAGNAC;219;18;O;N;RUE GIACOMO PUCCINI;PUCCINI (RUE GIACOMO PUCCINI);35;3105553888;Toulouse;31555;1571758,487;2269485,629;1,41121090;43,61456569
AMOUROUX SAINT TROPEZ;217;18;O;N;CHE AMOUROUX;AMOUROUX (CHE AMOUROUX);42;3105550260;Toulouse;31555;1576255,376;2271091,986;1,46654721;43,62977371
AMOUROUX SAINTE AUGUSTINE;218;18;O;N;CHE AMOUROUX;AMOUROUX (CHE AMOUROUX);24B;3105550260;Toulouse;31555;1575879,592;2270864,541;1,46194310;43,62766506
TABAR UNIVERSITE;220;20;O;N;RUE UNIVERSITE DU MIRAIL;MIRAIL (RUE UNIVERSITE DU MIRAIL);3;3105558666;Toulouse;31555;1570941,656;2265056,899;1,40213704;43,57457116
VAUQUELIN;221;20;O;N;RUE NICOLAS L VAUQUELIN;VAUQUELIN (RUE NICOLAS L VAUQUELIN);85;3105556267;Toulouse;31555;1571311,164;2265257,956;1,40666359;43,57644369
FONTAINES CASSELARDIT;226;17;O;N;RUE DES FONTAINES;FONTAINES (RUE DES FONTAINES);292;3105553380;Toulouse;31555;1571418,082;2268335,997;1,40726461;43,60416194
METRO PHARMACIE;228;20;O;N;CHE DES MARAICHERS;MARAICHERS (CHE DES MARAICHERS);35;3105555576;Toulouse;31555;1575960,592;2264237,377;1,46444748;43,56803843
METRO UPS;227;20;N;N;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);118;3105556196;Toulouse;31555;1575831,327;2263428,507;1,46303077;43,56073778
IUT RANGUEIL;229;20;O;N;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);129;3105557268;Toulouse;31555;1575826,367;2264623,416;1,46269877;43,57149046
NARBONNE SAHUQUE;233;20;O;N;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);105;3105556196;Toulouse;31555;1575490,339;2264077,205;1,45866363;43,56651947
NARBONNE MIROUSE;232;18;O;N;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);64;3105556196;Toulouse;31555;1575308,880;2264379,084;1,45634916;43,56920621
METRO RANGUEIL;166;20;O;N;RUE EMILE GUYOU;GUYOU (RUE EMILE GUYOU);00;3105552978;Toulouse;31555;1575808,446;2264922,223;1,46240925;43,57417659
RANGUEIL TRIPODE B;230;20;O;N;AV DE RANGUEIL;RANGUEIL (AV DE RANGUEIL);141;3105557268;Toulouse;31555;1576228,664;2264156,473;1,46778362;43,56735439
ALBI AVRANCHES;169;18;O;N;RTE D ALBI;ALBI (RTE D ALBI);78;3105550124;Toulouse;31555;1575987,406;2271421,278;1,46315261;43,63269301
CROIX DAURADE BIBLIOTHEQUE;170;17;O;N;CHE DE NICOL;NICOL (CHE DE NICOL);164;3105556262;Toulouse;31555;1576083,193;2271740,822;1,46426701;43,63558441
LOUIN RAYNAL;234;17;O;N;RUE PIERRETTE LOUIN;LOUIN (RUE PIERRETTE LOUIN);4;3105556921;Toulouse;31555;1575037,575;2270928,295;1,45149691;43,62809957
METRO LA VACHE;235;20;O;N;RUE PAUL VERLAINE;VERLAINE (RUE PAUL VERLAINE);8;3105556656;Toulouse;31555;1573754,625;2271551,017;1,43545888;43,63348962
TOEC ABBE LEMIRE;236;20;O;N;RUE DE L ABBE JULES LEMIRE;LEMIRE (RUE DE L ABBE JULES LEMIRE);1;3105554821;Toulouse;31555;1571120,444;2267580,601;1,40375645;43,59731315
BUTTE HERBETTES;238;17;O;N;CHE DE LA BUTTE;BUTTE (CHE DE LA BUTTE);50;3105551468;Toulouse;31555;1576680,854;2265479,727;1,47308253;43,57933700
LESPINET HERBETTES;239;18;O;N;AV DE LESPINET;LESPINET (AV DE LESPINET);127;3105555196;Toulouse;31555;1576386,506;2265222,903;1,46949669;43,57697753
JOB BLAGNAC;240;20;O;N;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);112;3105551180;Toulouse;31555;1571535,824;2269761,334;1,40838826;43,61700888
RENAN VITRY;244;18;O;N;RUE ERNEST RENAN;RENAN (RUE ERNEST RENAN);93;3105553044;Toulouse;31555;1574435,226;2271793,724;1,44383583;43,63578755
ETATS UNIS FERRY;243;18;O;N;AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);96;3105553104;Toulouse;31555;1573453,702;2271471,357;1,43174888;43,63272225
LAUNAGUET AUDIBERT;247;20;O;N;RTE DE LAUNAGUET;LAUNAGUET (RTE DE LAUNAGUET);112;3105555096;Toulouse;31555;1574046,119;2271864,545;1,43899830;43,63635990
BOUQUETINS ROSTAND;248;18;O;N;RUE EDMOND ROSTAND;ROSTAND (RUE EDMOND ROSTAND);139;3105552888;Toulouse;31555;1574825,943;2272366,308;1,44854597;43,64100536
GRANDE BRETAGNE BADIOU;245;20;O;N;AV DE GRANDE BRETAGNE;BRETAGNE (AV DE GRANDE BRETAGNE);103B;3105553984;Toulouse;31555;1572041,394;2267843,906;1,41509869;43,59983962
WAGNER BRUNHES;246;20;O;N;BD RICHARD WAGNER;WAGNER (BD RICHARD WAGNER);29;3105557468;Toulouse;31555;1572451,879;2268278,356;1,42008058;43,60381892
CURIE CAMPISTRON;150;20;O;N;BD PIERRE ET MARIE CURIE;CURIE (BD PIERRE ET MARIE CURIE);88;3105556880;Toulouse;31555;1574078,721;2270670,888;1,43967699;43,62562344
JOLIMONT;251;20;O;N;AV LEON BLUM;BLUM (AV LEON BLUM);26;3105555152;Toulouse;31555;1575838,031;2269381,751;1,46176460;43,61431422
RAIMBAUD COLETTE;242;18;O;N;RUE ARTHUR RIMBAUD;RIMBAUD (RUE ARTHUR RIMBAUD);4;3105550546;Toulouse;31555;1573923,115;2271577,355;1,43754040;43,63375486
PORT SAINT SAUVEUR;15;20;O;N;PORT SAINT SAUVEUR;SAUVEUR (PORT SAINT SAUVEUR);22;3105558066;Toulouse;31555;1575384,954;2267399,791;1,45660377;43,59640320
LOMBEZ HIPPODROME;194;20;O;N;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);93;3105555308;Toulouse;31555;1571640,364;2267201,734;1,41028318;43,59399237
ETATS UNIS  CHARLAS;253;18;O;N;AV DES ETATS UNIS;UNIS (AV DES ETATS UNIS);75;3105553104;Toulouse;31555;1573497,356;2271226,072;1,43234646;43,63052222
BELIN E.N.A.C.;223;20;O;N;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);4;3105552202;Toulouse;31555;1577063,312;2263878,005;1,47817625;43,56498489
BELIN SUP AERO;224;20;O;N;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);10;3105552894;Toulouse;31555;1576831,484;2264048,154;1,47526887;43,56647830
BELIN ONERA;225;20;O;N;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);4;3105552894;Toulouse;31555;1576688,623;2264465,499;1,47340688;43,57021082
BELIN C.N.R.S.;237;20;O;N;AV EDOUARD BELIN;BELIN (AV EDOUARD BELIN);16;3105552894;Toulouse;31555;1577282,634;2263574,625;1,48095852;43,56229036
MAIRIE CROIX DAURADE;249;18;O;N;RTE D ALBI;ALBI (RTE D ALBI);159;3105550124;Toulouse;31555;1576150,245;2272041,807;1,46502967;43,63830406
CESR;222;20;O;N;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);11;3105552202;Toulouse;31555;1576866,013;2263669,546;1,47578125;43,56307667
NEGRENEYS;252;20;O;N;RUE DE NEGRENEYS;NEGRENEYS (RUE DE NEGRENEYS);161;3105556236;Toulouse;31555;1574429,856;2270801,874;1,44399694;43,62686083
ESPAGNE CHARPENTIER;241;20;O;N;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);57;3105553064;Toulouse;31555;1572727,667;2265082,882;1,42423827;43,57510862
CUGNAUX GRAVETTE;183;18;O;N;RUE DE CUGNAUX;CUGNAUX (RUE DE CUGNAUX);66;3105552424;Toulouse;31555;1572780,670;2267092,265;1,42442782;43,59320058
ELLA MAILLART - ROQUEMAUREL;9;17;N;N;RUE ELLA MAILLART;MAILLART (RUE ELLA MAILLART);8;3105552941;Toulouse;31555;1571639,516;2267428,074;1,41021965;43,59602911
NARBONNE IUFM;231;20;O;N;RTE DE NARBONNE;NARBONNE (RTE DE NARBONNE);217;3105556196;Toulouse;31555;1576004,694;2263035,946;1,46526501;43,55723348
11 NOVEMBRE 1918;250;20;N;N;RUE DU ONZE NOVEMBRE 1918;NOVEMBRE 1918 (RUE DU ONZE NOVEMBRE 1918);00;3105556383;Toulouse;31555;1571983,159;2267090,933;1,41455354;43,59305355
BERNIES POSTE;131;18;N;N;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);15;3105551180;Toulouse;31555;1572020,689;2269144,871;1,41453822;43,61154374
MINIMES - MARCHE AU COCHONS;133;20;O;N;AV DES MINIMES;MINIMES (AV DES MINIMES);22;3105555956;Toulouse;31555;1573824,711;2269867,115;1,43671553;43,61834763
